	z_comb	z_12	observed_overlap	expected_overlap_mean	expected_overlap_std	empirical_p	obs_exp
4	2	1.0	354	356.89	16.888395424077444	0.5679366398964184	0.9919022668048979
5	2	1.5	157	163.61	11.711443122006783	0.7137608171184111	0.9595990465130493
8	3	1.0	228	231.34	13.314818812135597	0.5990343111884965	0.9855623757240425
9	3	1.5	142	148.94	9.895271598091686	0.7584561549085131	0.9534040553242916
10	3	2.0	45	56.31	6.92631936890005	0.9487551838814101	0.7991475759190196
12	5	1.0	98	110.96	9.531967268093194	0.9130273328425592	0.8832011535688536
13	5	1.5	73	82.38	8.60671830606765	0.8621095700040529	0.8861374119932023
14	5	2.0	43	50.47	7.293085766669688	0.8471432382908357	0.8519912819496731
15	5	3.0	2	7.39	2.56863777127099	0.9820645805230319	0.2706359945872801
